ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Iteration Path,State,UserRole,Preconditions,ShortDescription,Description,Priority,Tags
"556255","Test Case","[Bulk Assignments] Validate the fields in Location Bulk Assignments and validate the user can assign the location",,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Ready,authorized users,User has bulk assignment privileges. Multiple persons exist in search results without location assignments.,AC: Validate Location Bulk Assignment fields and assignment. PBI 915981 - List NOT refreshed and selections retained after operation.,AC: Validate Assignment Type. Location. Effective Start Date. Note fields. Complete assignment and verify list NOT refreshed. Selections retained. Verify via person profile. PBI 915981.,2,BulkAssignmentsModule; AIUpdated; PBI915981
,,,"1","Login to the test environment","User is logged in and the Home page displays",,,,,,,,,
,,,"2","Navigate to the 3 dot ellipsis menu and click Bulk Assignments","The Bulk Assignments List page displays",,,,,,,,,
,,,"3","Fill in the required fields as desired for the test and click on Run Query","Bulk Assignments List page displays with the filtered records",,,,,,,,,
,,,"4","Select 1 or more records and click on the Assign Location button in the Bulk Assignments list","Location Bulk Assignments modal displays",,,,,,,,,
,,,"5","Validate the Assignment Type is a required field which is a single select drop down that displays the list of available Assignment Types","Validated",,,,,,,,,
,,,"6","Validate the Location is a required field which is a single select drop down that displays the list of available locations","Validated",,,,,,,,,
,,,"7","Validate Effective Start Date is a required date field","Validated",,,,,,,,,
,,,"8","Validate Note is a text field which only allows 10000 characters by attempting to add more and receiving an error message","Validated",,,,,,,,,
,,,"9","Fill in data in all the required fields and click on Continue","A confirmation modal displays with the text: You are about to assign a location to the selected member records. Would you like to continue?",,,,,,,,,
,,,"10","Click on Continue and validate the status of the assignment is displayed","Validated",,,,,,,,,
,,,"11","Click on the Close button","Modal closes",,,,,,,,,
,,,"12","Verify the Bulk Assignments list is NOT refreshed after closing the modal","Grid displays same data as before - no reload or flicker occurred (PBI 915981)",,,,,,,,,
,,,"13","Verify previously selected records remain selected","All previously selected records are still selected with same selection count (PBI 915981)",,,,,,,,,
,,,"14","Click Open Person Profile button for one of the selected persons","Person profile page opens",,,,,,,,,
,,,"15","Navigate to Location Assignment section in person profile","Location Assignment section is displayed",,,,,,,,,
,,,"16","Verify the assigned location appears in the persons location assignments","The location assigned in step 9 is displayed as an active assignment for the person",,,,,,,,,
,,,"17","Logout of the testing environment","User is logged out",,,,,,,,,
